"Publication_Year","Table","Health_Indicator_Desc","Strata","Strata_Name","County","Rank_Order","Denominator_Total","Denominator_Average","Denominator_Label","Denominator_Year_Period","Numerator_Total","Numerator_Average","Numerator_Label","Numerator_Year_Period","Rate_Multiplier","Rate/Percentage","Rate/Percentage_Label","Age-Adjusted_Rate","Age-Adjusted_Rate_Label","Lower_Confidence_Limit","Upper_Confidence_Limit","Healthy_People_Decade","Healthy_People_Objective_Number","Healthy_People_Objective_Target","Healthy_People_Objective_Met","Denominator_Annotation_Code","Numerator_Annotation_Code","Rates_Annotation_Code","Annotation_Desc"
2022,1,Deaths Due to All Causes,Total Population,Total Population,Del Norte,53,27207,27207.0,Population,2019,937,312.3,Deaths,2018-2020,100000,1148.0,Crude Death Rate,857.0,Age-Adjusted Death Rate,800.3,913.8,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,Tehama,54,65163,65163.0,Population,2019,2277,759.0,Deaths,2018-2020,100000,1164.8,Crude Death Rate,863.0,Age-Adjusted Death Rate,826.3,899.8,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,Yuba,55,78061,78061.0,Population,2019,1959,653.0,Deaths,2018-2020,100000,836.5,Crude Death Rate,863.5,Age-Adjusted Death Rate,824.5,902.6,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,Lake,56,64080,64080.0,Population,2019,2619,873.0,Deaths,2018-2020,100000,1362.4,Crude Death Rate,922.3,Age-Adjusted Death Rate,884.5,960.1,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,Shasta,57,177620,177620.0,Population,2019,6965,2321.7,Deaths,2018-2020,100000,1307.1,Crude Death Rate,932.0,Age-Adjusted Death Rate,909.3,954.7,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,Alpine,58,1123,1123.0,Population,2019,71,23.7,Deaths,2018-2020,100000,2107.5,Crude Death Rate,1577.6,Age-Adjusted Death Rate,1188.5,2053.5,2020,,,,,,,
2022,2,Deaths Due to All Cancers,Total Population,Total Population,Mono,1,13585,13585.0,Population,2019,36,12.0,Deaths,2018-2020,100000,88.3,Crude Death Rate,70.2,Age-Adjusted Death Rate,44.5,105.3,2020,C-1,161.4,Y,,,,
2022,2,Deaths Due to All Cancers,Total Population,Total Population,Sierra,2,3127,3127.0,Population,2019,22,7.3,Deaths,2018-2020,100000,234.5,Crude Death Rate,101.3,Age-Adjusted Death Rate,63.5,153.4,2020,C-1,161.4,Y,,,,
2022,2,Deaths Due to All Cancers,Total Population,Total Population,Santa Clara,3,1960932,1960932.0,Population,2019,7123,2374.3,Deaths,2018-2020,100000,121.1,Crude Death Rate,102.2,Age-Adjusted Death Rate,99.8,104.6,2020,C-1,161.4,Y,,,,
2022,2,Deaths Due to All Cancers,Total Population,Total Population,San Mateo,4,776002,776002.0,Population,2019,3297,1099.0,Deaths,2018-2020,100000,141.6,Crude Death Rate,104.0,Age-Adjusted Death Rate,100.4,107.6,2020,C-1,161.4,Y,,,,
2022,2,Deaths Due to All Cancers,Total Population,Total Population,Trinity,5,13374,13374.0,Population,2019,90,30.0,Deaths,2018-2020,100000,224.3,Crude Death Rate,105.0,Age-Adjusted Death Rate,83.0,131.0,2020,C-1,161.4,Y,,,,
2022,2,Deaths Due to All Cancers,Total Population,Total Population,Imperial,6,188962,188962.0,Population,2019,639,213.0,Deaths,2018-2020,100000,112.7,Crude Death Rate,107.3,Age-Adjusted Death Rate,98.9,115.8,2020,C-1,161.4,Y,,,,
2022,2,Deaths Due to All Cancers,Total Population,Total Population,San Francisco,7,897114,897114.0,Population,2019,3901,1300.3,Deaths,2018-2020,100000,144.9,Crude Death Rate,108.3,Age-Adjusted Death Rate,104.8,111.7,2020,C-1,161.4,Y,,,,
2022,2,Deaths Due to All Cancers,Total Population,Total Population,Modoc,8,9458,9458.0,Population,2019,60,20.0,Deaths,2018-2020,100000,211.5,Crude Death Rate,109.3,Age-Adjusted Death Rate,81.9,143.0,2020,C-1,161.4,Y,,,,
2022,2,Deaths Due to All Cancers,Total Population,Total Population,Marin,9,260969,260969.0,Population,2019,1472,490.7,Deaths,2018-2020,100000,188.0,Crude Death Rate,109.6,Age-Adjusted Death Rate,103.8,115.3,2020,C-1,161.4,Y,,,,
2022,2,Deaths Due to All Cancers,Total Population,Total Population,Monterey,10,443397,443397.0,Population,2019,1640,546.7,Deaths,2018-2020,100000,123.3,Crude Death Rate,112.4,Age-Adjusted Death Rate,106.9,118.0,2020,C-1,161.4,Y,,,,
2022,2,Deaths Due to All Cancers,Total Population,Total Population,San Benito,11,62051,62051.0,Population,2019,221,73.7,Deaths,2018-2020,100000,118.7,Crude Death Rate,112.9,Age-Adjusted Death Rate,97.7,128.2,2020,C-1,161.4,Y,,,,
2022,2,Deaths Due to All Cancers,Total Population,Total Population,Alameda,12,1668965,1668965.0,Population,2019,6770,2256.7,Deaths,2018-2020,100000,135.2,Crude Death Rate,118.1,Age-Adjusted Death Rate,115.2,120.9,2020,C-1,161.4,Y,,,,
2022,2,Deaths Due to All Cancers,Total Population,Total Population,Colusa,13,22045,22045.0,Population,2019,91,30.3,Deaths,2018-2020,100000,137.6,Crude Death Rate,118.1,Age-Adjusted Death Rate,94.7,145.5,2020,C-1,161.4,Y,,,,
2022,2,Deaths Due to All Cancers,Total Population,Total Population,Orange,14,3195197,3195197.0,Population,2019,14183,4727.7,Deaths,2018-2020,100000,148.0,Crude Death Rate,122.4,Age-Adjusted Death Rate,120.4,124.5,2020,C-1,161.4,Y,,,,
2022,2,Deaths Due to All Cancers,Total Population,Total Population,Placer,15,394626,394626.0,Population,2019,2246,748.7,Deaths,2018-2020,100000,189.7,Crude Death Rate,123.0,Age-Adjusted Death Rate,117.8,128.2,2020,C-1,161.4,Y,,,,
2022,2,Deaths Due to All Cancers,Total Population,Total Population,Los Angeles,16,10210966,10210966.0,Population,2019,43889,14629.7,Deaths,2018-2020,100000,143.3,Crude Death Rate,124.4,Age-Adjusted Death Rate,123.2,125.6,2020,C-1,161.4,Y,,,,
2022,2,Deaths Due to All Cancers,Total Population,Total Population,Contra Costa,17,1147269,1147269.0,Population,2019,5532,1844.0,Deaths,2018-2020,100000,160.7,Crude Death Rate,126.5,Age-Adjusted Death Rate,123.1,129.9,2020,C-1,161.4,Y,,,,
2022,2,Deaths Due to All Cancers,Total Population,Total Population,Ventura,18,844213,844213.0,Population,2019,3984,1328.0,Deaths,2018-2020,100000,157.3,Crude Death Rate,127.7,Age-Adjusted Death Rate,123.7,131.8,2020,C-1,161.4,Y,,,,
2022,2,Deaths Due to All Cancers,Total Population,Total Population,Santa Cruz,19,272185,272185.0,Population,2019,1266,422.0,Deaths,2018-2020,100000,155.0,Crude Death Rate,128.0,Age-Adjusted Death Rate,120.7,135.3,2020,C-1,161.4,Y,,,,
2022,2,Deaths Due to All Cancers,Total Population,Total Population,Santa Barbara,20,452066,452066.0,Population,2019,2074,691.3,Deaths,2018-2020,100000,152.9,Crude Death Rate,128.2,Age-Adjusted Death Rate,122.6,133.8,2020,C-1,161.4,Y,,,,
2022,2,Deaths Due to All Cancers,Total Population,Total Population,El Dorado,21,188818,188818.0,Population,2019,1121,373.7,Deaths,2018-2020,100000,197.9,Crude Death Rate,128.2,Age-Adjusted Death Rate,120.4,136.0,2020,C-1,161.4,Y,,,,
2022,2,Deaths Due to All Cancers,Total Population,Total Population,CALIFORNIA,,39761195,39761195.0,Population,2019,179231,59743.7,Deaths,2018-2020,100000,150.3,Crude Death Rate,128.3,Age-Adjusted Death Rate,127.7,128.9,2020,C-1,161.4,Y,,,,
2022,2,Deaths Due to All Cancers,Total Population,Total Population,Mariposa,22,17842,17842.0,Population,2019,132,44.0,Deaths,2018-2020,100000,246.6,Crude Death Rate,128.4,Age-Adjusted Death Rate,103.3,153.6,2020,C-1,161.4,Y,,,,
2022,2,Deaths Due to All Cancers,Total Population,Total Population,Inyo,23,18463,18463.0,Population,2019,119,39.7,Deaths,2018-2020,100000,214.8,Crude Death Rate,128.6,Age-Adjusted Death Rate,103.5,153.7,2020,C-1,161.4,Y,,,,
2022,2,Deaths Due to All Cancers,Total Population,Total Population,San Diego,24,3346937,3346937.0,Population,2019,15021,5007.0,Deaths,2018-2020,100000,149.6,Crude Death Rate,129.0,Age-Adjusted Death Rate,126.9,131.1,2020,C-1,161.4,Y,,,,
2022,2,Deaths Due to All Cancers,Total Population,Total Population,Sonoma,25,495058,495058.0,Population,2019,2885,961.7,Deaths,2018-2020,100000,194.3,Crude Death Rate,129.8,Age-Adjusted Death Rate,124.9,134.7,2020,C-1,161.4,Y,,,,
2022,2,Deaths Due to All Cancers,Total Population,Total Population,San Luis Obispo,26,277276,277276.0,Population,2019,1666,555.3,Deaths,2018-2020,100000,200.3,Crude Death Rate,130.5,Age-Adjusted Death Rate,124.0,137.0,2020,C-1,161.4,Y,,,,
2022,2,Deaths Due to All Cancers,Total Population,Total Population,Madera,27,157686,157686.0,Population,2019,686,228.7,Deaths,2018-2020,100000,145.0,Crude Death Rate,132.2,Age-Adjusted Death Rate,122.2,142.2,2020,C-1,161.4,Y,,,,
2022,2,Deaths Due to All Cancers,Total Population,Total Population,Nevada,28,97808,97808.0,Population,2019,727,242.3,Deaths,2018-2020,100000,247.8,Crude Death Rate,132.3,Age-Adjusted Death Rate,121.8,142.8,2020,C-1,161.4,Y,,,,
2022,2,Deaths Due to All Cancers,Total Population,Total Population,Riverside,29,2428464,2428464.0,Population,2019,11523,3841.0,Deaths,2018-2020,100000,158.2,Crude Death Rate,133.9,Age-Adjusted Death Rate,131.4,136.4,2020,C-1,161.4,Y,,,,
2022,2,Deaths Due to All Cancers,Total Population,Total Population,Fresno,30,1018437,1018437.0,Population,2019,4061,1353.7,Deaths,2018-2020,100000,132.9,Crude Death Rate,135.0,Age-Adjusted Death Rate,130.8,139.2,2020,C-1,161.4,Y,,,,
2022,2,Deaths Due to All Cancers,Total Population,Total Population,Yolo,31,220723,220723.0,Population,2019,877,292.3,Deaths,2018-2020,100000,132.4,Crude Death Rate,135.6,Age-Adjusted Death Rate,126.5,144.7,2020,C-1,161.4,Y,,,,
2022,2,Deaths Due to All Cancers,Total Population,Total Population,Amador,32,37724,37724.0,Population,2019,306,102.0,Deaths,2018-2020,100000,270.4,Crude Death Rate,136.5,Age-Adjusted Death Rate,120.6,152.4,2020,C-1,161.4,Y,,,,
2022,2,Deaths Due to All Cancers,Total Population,Total Population,Calaveras,33,44403,44403.0,Population,2019,359,119.7,Deaths,2018-2020,100000,269.5,Crude Death Rate,136.6,Age-Adjusted Death Rate,121.0,152.3,2020,C-1,161.4,Y,,,,
2022,2,Deaths Due to All Cancers,Total Population,Total Population,Plumas,34,18450,18450.0,Population,2019,144,48.0,Deaths,2018-2020,100000,260.2,Crude Death Rate,136.6,Age-Adjusted Death Rate,111.3,161.9,2020,C-1,161.4,Y,,,,
2022,2,Deaths Due to All Cancers,Total Population,Total Population,Napa,35,139874,139874.0,Population,2019,828,276.0,Deaths,2018-2020,100000,197.3,Crude Death Rate,140.4,Age-Adjusted Death Rate,130.6,150.1,2020,C-1,161.4,Y,,,,
2022,2,Deaths Due to All Cancers,Total Population,Total Population,Lassen,36,28972,28972.0,Population,2019,151,50.3,Deaths,2018-2020,100000,173.7,Crude Death Rate,141.0,Age-Adjusted Death Rate,118.0,163.9,2020,C-1,161.4,Y,,,,
2022,2,Deaths Due to All Cancers,Total Population,Total Population,Tulare,37,477731,477731.0,Population,2019,1896,632.0,Deaths,2018-2020,100000,132.3,Crude Death Rate,141.4,Age-Adjusted Death Rate,134.9,147.8,2020,C-1,161.4,Y,,,,
2022,2,Deaths Due to All Cancers,Total Population,Total Population,Kern,38,909697,909697.0,Population,2019,3505,1168.3,Deaths,2018-2020,100000,128.4,Crude Death Rate,141.5,Age-Adjusted Death Rate,136.7,146.2,2020,C-1,161.4,Y,,,,
2022,2,Deaths Due to All Cancers,Total Population,Total Population,Kings,39,153522,153522.0,Population,2019,558,186.0,Deaths,2018-2020,100000,121.2,Crude Death Rate,145.1,Age-Adjusted Death Rate,132.9,157.3,2020,C-1,161.4,Y,,,,
2022,2,Deaths Due to All Cancers,Total Population,Total Population,San Bernardino,40,2176150,2176150.0,Population,2019,9186,3062.0,Deaths,2018-2020,100000,140.7,Crude Death Rate,145.8,Age-Adjusted Death Rate,142.7,148.8,2020,C-1,161.4,Y,,,,
2022,2,Deaths Due to All Cancers,Total Population,Total Population,Merced,41,281592,281592.0,Population,2019,1114,371.3,Deaths,2018-2020,100000,131.9,Crude Death Rate,146.1,Age-Adjusted Death Rate,137.4,154.8,2020,C-1,161.4,Y,,,,
2022,2,Deaths Due to All Cancers,Total Population,Total Population,Sutter,42,102808,102808.0,Population,2019,539,179.7,Deaths,2018-2020,100000,174.8,Crude Death Rate,148.5,Age-Adjusted Death Rate,135.9,161.2,2020,C-1,161.4,Y,,,,
2022,2,Deaths Due to All Cancers,Total Population,Total Population,San Joaquin,43,767935,767935.0,Population,2019,3486,1162.0,Deaths,2018-2020,100000,151.3,Crude Death Rate,149.1,Age-Adjusted Death Rate,144.0,154.1,2020,C-1,161.4,Y,,,,
2022,2,Deaths Due to All Cancers,Total Population,Total Population,Sacramento,44,1548760,1548760.0,Population,2019,7695,2565.0,Deaths,2018-2020,100000,165.6,Crude Death Rate,149.8,Age-Adjusted Death Rate,146.4,153.2,2020,C-1,161.4,Y,,,,
2022,2,Deaths Due to All Cancers,Total Population,Total Population,Mendocino,45,88125,88125.0,Population,2019,602,200.7,Deaths,2018-2020,100000,227.7,Crude Death Rate,150.8,Age-Adjusted Death Rate,138.3,163.4,2020,C-1,161.4,Y,,,,
2022,2,Deaths Due to All Cancers,Total Population,Total Population,Solano,46,439990,439990.0,Population,2019,2520,840.0,Deaths,2018-2020,100000,190.9,Crude Death Rate,152.4,Age-Adjusted Death Rate,146.3,158.5,2020,C-1,161.4,Y,,,,
2022,2,Deaths Due to All Cancers,Total Population,Total Population,Stanislaus,47,554212,554212.0,Population,2019,2650,883.3,Deaths,2018-2020,100000,159.4,Crude Death Rate,153.7,Age-Adjusted Death Rate,147.7,159.6,2020,C-1,161.4,Y,,,,
2022,2,Deaths Due to All Cancers,Total Population,Total Population,Tuolumne,48,52557,52557.0,Population,2019,458,152.7,Deaths,2018-2020,100000,290.5,Crude Death Rate,153.8,Age-Adjusted Death Rate,138.8,168.7,2020,C-1,161.4,Y,,,,
